rg,cell_conc,substract_conc
0.32777115613825986,0.9999876203503875,249.91862739156915
0.34575825407453503,1.0549408271031817,249.4200053878247
0.36469493742348436,1.1127275651040054,248.92524330378524
0.38462705117456936,1.1735151031278201,247.15903531477323
0.4048345381848327,1.2351896484309555,246.85170106723584
0.4268620514907853,1.302450027417638,245.90005421185893
0.4500310054165513,1.3732956065049255,245.16585364439175
0.47439405447710625,1.447571649144659,244.15679430300162
0.49906871591820806,1.5228929532360467,242.96504630410965
0.5259370413918254,1.604895022488421,241.84368924834658
0.5541652701281935,1.691126574205375,241.66791477729817
0.5827285071084151,1.7783455887974593,239.8496860903815
0.6138012213237765,1.8732029639861754,238.57876937483272
0.6464129576428504,1.9727709227604375,236.67929238295685
0.6806267019390845,2.077304635422733,235.9617916187673
0.7151956609411941,2.182967428130412,234.2414577753902
0.7527434955393405,2.2975548284220646,233.35967377244464
0.7920855652133996,2.417897393300342,231.40049030413883
0.8317836083149405,2.5391676689038785,230.20573180266075
0.32777115613825986,0.9999849605923337,250.36040343618484
0.34575825407453503,1.0548791617292066,249.500726489168
0.36469493742348436,1.1126492603537694,248.6731919400871
0.38462705117456936,1.1735584459781678,247.43722756273402
0.4048345381848327,1.235203185358182,246.6452342825385
0.4268620514907853,1.3024676035911265,245.90205422106766
0.4500310054165513,1.3731988336783827,245.09032655878056
0.47439405447710625,1.4475618161737107,244.2081944032157
0.49906871591820806,1.5229732383617456,243.6076812449082
0.5259370413918254,1.6050134446583741,242.0611004901805
0.5541652701281935,1.6911549462756104,240.81099571890726
0.5827285071084151,1.7783581461355398,239.09599234250697
0.6138012213237765,1.873158094735483,239.20726410686746
0.6464129576428504,1.9729309440500327,237.71627014862597
0.6806267019390845,2.0774202490009395,236.35553896038343
0.7151956609411941,2.1829476016534346,234.22228305657873
0.7527434955393405,2.2977313543866726,233.37317206275677
0.7920855652133996,2.4178244981087946,232.14633325503294
0.8317836083149405,2.5391906613126656,229.39278524753936
0.32777115613825986,0.9999652426514613,249.97091515658911
0.34575825407453503,1.0549054255657204,249.19433593546754
0.36469493742348436,1.1126752379379745,248.69086839447476
0.38462705117456936,1.1735063347989663,248.22965754628262
0.4048345381848327,1.2352773208122987,246.87308467081567
0.4268620514907853,1.3024364781550353,246.152930257917
0.4500310054165513,1.3731907805442354,245.19901955854365
0.47439405447710625,1.4475114410057563,244.41373365463124
0.49906871591820806,1.5228589847064389,243.81634361849171
0.5259370413918254,1.605008350845227,242.31748571480298
0.5541652701281935,1.6910302707667955,240.7932650491224
0.5827285071084151,1.7783587807149002,239.74927901913424
0.6138012213237765,1.8732232279179057,238.86985011015193
0.6464129576428504,1.972736429723908,238.34383428444463
0.6806267019390845,2.077263934595899,236.18665357201655
0.7151956609411941,2.182968516168562,233.98885622258845
0.7527434955393405,2.297713756079496,234.05732555035
0.7920855652133996,2.4178029291642003,231.18525075108568
0.8317836083149405,2.5391184783724445,229.6426916207415
0.32777115613825986,0.9999719302662397,250.43677664123354
0.34575825407453503,1.0548451231195368,249.15762795394608
0.36469493742348436,1.1127150396631176,248.38326233384885
0.38462705117456936,1.1735569099786405,247.78057179821027
0.4048345381848327,1.2352371432954814,247.52319999918123
0.4268620514907853,1.3024637769681293,245.44452859887951
0.4500310054165513,1.3732016799251854,245.2011297987613
0.47439405447710625,1.4474940971769252,244.50773055871736
0.49906871591820806,1.522922839666504,243.55670844057403
0.5259370413918254,1.604985684501985,242.02888137632704
0.5541652701281935,1.6911307514130842,241.41331203782795
0.5827285071084151,1.7784098062384732,240.17087526891535
0.6138012213237765,1.873239379498292,238.6119040693218
0.6464129576428504,1.9729090277689851,237.0529135121145
0.6806267019390845,2.0773650082686985,236.2903340418194
0.7151956609411941,2.182998465865261,234.35643228053436
0.7527434955393405,2.2975920841487754,233.4674398760197
0.7920855652133996,2.417840938296012,231.532368088285
0.8317836083149405,2.5392295020915956,229.82589785872554
0.32777115613825986,0.9999759223476615,250.1856849270873
0.34575825407453503,1.0549213168491567,249.58830372411128
0.36469493742348436,1.1126635233263267,247.71283393196288
0.38462705117456936,1.1735046155675448,248.25281645787888
0.4048345381848327,1.235188514006924,247.09481856137094
0.4268620514907853,1.3024421585794368,246.21031051019585
0.4500310054165513,1.373225475680542,245.90704099998965
0.47439405447710625,1.4475823926789866,244.05297287157208
0.49906871591820806,1.5228666428553492,242.88544349928804
0.5259370413918254,1.6049378278790198,242.20371566653102
0.5541652701281935,1.691136301729378,240.60301049597078
0.5827285071084151,1.7783093154342349,239.8422220581123
0.6138012213237765,1.8732396963751585,238.60485056763247
0.6464129576428504,1.972892758232717,237.6892833977539
0.6806267019390845,2.0772938504124268,236.1782859678319
0.7151956609411941,2.1828898564574986,234.07420662017753
0.7527434955393405,2.2977989781917856,233.72280485040818
0.7920855652133996,2.4178747871921695,231.59032239598312
0.8317836083149405,2.5391526249443324,230.03627781595972
0.32777115613825986,0.9999740850673527,249.93821145125048
0.34575825407453503,1.0548803045521487,249.8066991660051
0.36469493742348436,1.1127042719678164,248.0932103560162
0.38462705117456936,1.173558873131974,247.3285597361209
0.4048345381848327,1.2352328805754214,245.89209092760322
0.4268620514907853,1.3024583448571165,246.84591877840109
0.4500310054165513,1.3731931078985016,244.72609345190247
0.47439405447710625,1.4475543508817845,244.6215236181456
0.49906871591820806,1.5228800661872328,242.6489879800156
0.5259370413918254,1.6048943816641863,242.2701960548343
0.5541652701281935,1.6912225523073203,240.92258422685282
0.5827285071084151,1.7783847634800625,240.6049575895061
0.6138012213237765,1.8732434473028077,239.165867641259
